Emoji	Name	Group	Subgroup	Code Point	Code	Status
🏃🏼‍♂️‍➡	Man running facing right: Medium-light skin tone	People & Body	Person Activity	1F3C3 1F3FC 200D 2642 FE0F 200D 27A1	E15.1	Minimally Qualified
🏃🏼‍♂‍➡	Man running facing right: Medium-light skin tone	People & Body	Person Activity	1F3C3 1F3FC 200D 2642 200D 27A1	E15.1	Minimally Qualified
🏃🏽‍♂️‍➡️	Man running facing right: Medium skin tone	People & Body	Person Activity	1F3C3 1F3FD 200D 2642 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🏃🏽‍♂‍➡️	Man running facing right: Medium skin tone	People & Body	Person Activity	1F3C3 1F3FD 200D 2642 200D 27A1 FE0F	E15.1	Minimally Qualified
🏃🏽‍♂️‍➡	Man running facing right: Medium skin tone	People & Body	Person Activity	1F3C3 1F3FD 200D 2642 FE0F 200D 27A1	E15.1	Minimally Qualified
🏃🏽‍♂‍➡	Man running facing right: Medium skin tone	People & Body	Person Activity	1F3C3 1F3FD 200D 2642 200D 27A1	E15.1	Minimally Qualified
🏃🏾‍♂️‍➡️	Man running facing right: Medium-dark skin tone	People & Body	Person Activity	1F3C3 1F3FE 200D 2642 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🏃🏾‍♂‍➡️	Man running facing right: Medium-dark skin tone	People & Body	Person Activity	1F3C3 1F3FE 200D 2642 200D 27A1 FE0F	E15.1	Minimally Qualified
🏃🏾‍♂️‍➡	Man running facing right: Medium-dark skin tone	People & Body	Person Activity	1F3C3 1F3FE 200D 2642 FE0F 200D 27A1	E15.1	Minimally Qualified
🏃🏾‍♂‍➡	Man running facing right: Medium-dark skin tone	People & Body	Person Activity	1F3C3 1F3FE 200D 2642 200D 27A1	E15.1	Minimally Qualified
🏃🏿‍♂️‍➡️	Man running facing right: Dark skin tone	People & Body	Person Activity	1F3C3 1F3FF 200D 2642 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🏃🏿‍♂‍➡️	Man running facing right: Dark skin tone	People & Body	Person Activity	1F3C3 1F3FF 200D 2642 200D 27A1 FE0F	E15.1	Minimally Qualified
🏃🏿‍♂️‍➡	Man running facing right: Dark skin tone	People & Body	Person Activity	1F3C3 1F3FF 200D 2642 FE0F 200D 27A1	E15.1	Minimally Qualified
🏃🏿‍♂‍➡	Man running facing right: Dark skin tone	People & Body	Person Activity	1F3C3 1F3FF 200D 2642 200D 27A1	E15.1	Minimally Qualified
