Emoji	Name	Group	Subgroup	Code Point	Code	Status
🧎🏾‍♀️	Woman kneeling: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 2640 FE0F	E12.0	Fully Qualified
🧎🏾‍♀	Woman kneeling: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 2640	E12.0	Minimally Qualified
🧎🏿‍♀️	Woman kneeling: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 2640 FE0F	E12.0	Fully Qualified
🧎🏿‍♀	Woman kneeling: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 2640	E12.0	Minimally Qualified
🧎🏻‍➡️	Person kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏻‍➡	Person kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 27A1	E15.1	Minimally Qualified
🧎🏼‍➡️	Person kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏼‍➡	Person kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 27A1	E15.1	Minimally Qualified
🧎🏽‍➡️	Person kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏽‍➡	Person kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 27A1	E15.1	Minimally Qualified
🧎🏾‍➡️	Person kneeling facing right: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏾‍➡	Person kneeling facing right: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 27A1	E15.1	Minimally Qualified
🧎🏿‍➡️	Person kneeling facing right: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏿‍➡	Person kneeling facing right: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 27A1	E15.1	Minimally Qualified
🧎🏻‍♀️‍➡️	Woman kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏻‍♀‍➡️	Woman kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏻‍♀️‍➡	Woman kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🧎🏻‍♀‍➡	Woman kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2640 200D 27A1	E15.1	Minimally Qualified
🧎🏼‍♀️‍➡️	Woman kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏼‍♀‍➡️	Woman kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏼‍♀️‍➡	Woman kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🧎🏼‍♀‍➡	Woman kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2640 200D 27A1	E15.1	Minimally Qualified
🧎🏽‍♀️‍➡️	Woman kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏽‍♀‍➡️	Woman kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏽‍♀️‍➡	Woman kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🧎🏽‍♀‍➡	Woman kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 2640 200D 27A1	E15.1	Minimally Qualified
🧎🏾‍♀️‍➡️	Woman kneeling facing right: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏾‍♀‍➡️	Woman kneeling facing right: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏾‍♀️‍➡	Woman kneeling facing right: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🧎🏾‍♀‍➡	Woman kneeling facing right: Medium-dark skin tone	People & Body	Person Activity	1F9CE 1F3FE 200D 2640 200D 27A1	E15.1	Minimally Qualified
🧎🏿‍♀️‍➡️	Woman kneeling facing right: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 2640 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏿‍♀‍➡️	Woman kneeling facing right: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 2640 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏿‍♀️‍➡	Woman kneeling facing right: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 2640 FE0F 200D 27A1	E15.1	Minimally Qualified
🧎🏿‍♀‍➡	Woman kneeling facing right: Dark skin tone	People & Body	Person Activity	1F9CE 1F3FF 200D 2640 200D 27A1	E15.1	Minimally Qualified
🧎🏻‍♂️‍➡️	Man kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2642 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏻‍♂‍➡️	Man kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2642 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏻‍♂️‍➡	Man kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2642 FE0F 200D 27A1	E15.1	Minimally Qualified
🧎🏻‍♂‍➡	Man kneeling facing right: Light skin tone	People & Body	Person Activity	1F9CE 1F3FB 200D 2642 200D 27A1	E15.1	Minimally Qualified
🧎🏼‍♂️‍➡️	Man kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2642 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏼‍♂‍➡️	Man kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2642 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏼‍♂️‍➡	Man kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2642 FE0F 200D 27A1	E15.1	Minimally Qualified
🧎🏼‍♂‍➡	Man kneeling facing right: Medium-light skin tone	People & Body	Person Activity	1F9CE 1F3FC 200D 2642 200D 27A1	E15.1	Minimally Qualified
🧎🏽‍♂️‍➡️	Man kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 2642 FE0F 200D 27A1 FE0F	E15.1	Fully Qualified
🧎🏽‍♂‍➡️	Man kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 2642 200D 27A1 FE0F	E15.1	Minimally Qualified
🧎🏽‍♂️‍➡	Man kneeling facing right: Medium skin tone	People & Body	Person Activity	1F9CE 1F3FD 200D 2642 FE0F 200D 27A1	E15.1	Minimally Qualified
